	Chr	Pos	-log10(pValue)
rs4118	4	387	0.999
rs4119	4	388	0.15
rs4120	4	389	0.264
rs4121	4	390	0.746
rs4122	4	391	0.712
rs4123	4	392	0.071
rs4124	4	393	0.171
rs4125	4	394	0.06
rs4126	4	395	0.203
rs4127	4	396	0.09
rs4128	4	397	0.029
rs4129	4	398	2.549
rs4130	4	399	0.323
rs4131	4	400	0.254
rs4132	4	401	0.661
rs4133	4	402	0.028
rs4134	4	403	0.009
rs4135	4	404	0.364
rs4136	4	405	0.092
rs4137	4	406	0.593
rs4138	4	407	0.229
rs4139	4	408	0.357
rs4140	4	409	0.726
rs4141	4	410	2.066
rs4142	4	411	0.418
rs4143	4	412	0.894
rs4144	4	413	0.017
rs4145	4	414	0.332
rs4146	4	415	0.631
rs4147	4	416	0.097
rs4148	4	417	0.173
rs4149	4	418	0.233
rs4150	4	419	0.175
rs4151	4	420	0.131
rs4152	4	421	0.173
rs4153	4	422	0.82
rs4154	4	423	0.217
rs4155	4	424	0.03
rs4156	4	425	0.418
rs4157	4	426	0.054
rs4158	4	427	0.154
rs4159	4	428	0.135
rs4160	4	429	0.55
rs4161	4	430	0.365
rs4162	4	431	0.138
rs4163	4	432	0.093
rs4164	4	433	0.361
rs4165	4	434	0.572
rs4166	4	435	0.105
rs4167	4	436	0.721
rs4168	4	437	0.782
rs4169	4	438	1.888
rs4170	4	439	0.427
rs4171	4	440	0.239
rs4172	4	441	0.095
rs4173	4	442	1.984
rs4174	4	443	0.055
rs4175	4	444	0.309
rs4176	4	445	0.223
rs4177	4	446	0.173
rs4178	4	447	0.379
rs4179	4	448	0.105
rs4180	4	449	0.132
rs4181	4	450	0.072
rs4182	4	451	0.179
rs4183	4	452	0.136
rs4184	4	453	0.047
rs4185	4	454	0.709
rs4186	4	455	0.007
rs4187	4	456	0.089
rs4188	4	457	0.235
rs4189	4	458	0.279
rs4190	4	459	0.033
rs4191	4	460	1.507
rs4192	4	461	0.14
rs4193	4	462	0.342
rs4194	4	463	0.121
rs4195	4	464	1.428
rs4196	4	465	0.159
rs4197	4	466	0.835
rs4198	4	467	0.604
rs4199	4	468	0.572
rs4200	4	469	0.231
rs4201	4	470	0.554
rs4202	4	471	0.61
rs4203	4	472	0.084
rs4204	4	473	0.121
rs4205	4	474	0.324
rs4206	4	475	0.864
rs4207	4	476	0.758
rs4208	4	477	0.038
rs4209	4	478	0.579
rs4210	4	479	0.053
rs4211	4	480	0.548
rs4212	4	481	0.048
rs4213	4	482	0.24
rs4214	4	483	0.168
rs4215	4	484	0.151
rs4216	4	485	0.578
rs4217	4	486	0.472
rs4218	4	487	0.443
rs4219	4	488	0.435
rs4220	4	489	0.463
rs4221	4	490	0.156
rs4222	4	491	0.952
rs4223	4	492	0.715
rs4224	4	493	1.089
rs4225	4	494	0.36
rs4226	4	495	0.036
rs4227	4	496	0.353
rs4228	4	497	0.568
rs4229	4	498	0.653
rs4230	4	499	0.101
rs4231	4	500	0.593
rs4232	4	501	1.236
rs4233	4	502	0.421
rs4234	4	503	0.042
rs4235	4	504	0.723
rs4236	4	505	0.453
rs4237	4	506	0.335
rs4238	4	507	0.019
rs4239	4	508	0.995
rs4240	4	509	1.446
rs4241	4	510	0.189
rs4242	4	511	1.185
rs4243	4	512	0.495
rs4244	4	513	0.581
rs4245	4	514	0.103
rs4246	4	515	0.857
rs4247	4	516	0.177
rs4248	4	517	0.042
rs4249	4	518	0.516
rs4250	4	519	0.14
rs4251	4	520	0.438
rs4252	4	521	0.363
rs4253	4	522	0.137
rs4254	4	523	0.58
rs4255	4	524	0.114
rs4256	4	525	0.292
rs4257	4	526	0.165
rs4258	4	527	0.351
rs4259	4	528	0.201
rs4260	4	529	0.18
rs4261	4	530	1.426
rs4262	4	531	0.106
rs4263	4	532	0.261
rs4264	4	533	0.359
rs4265	4	534	1.107
rs4266	4	535	0.078
rs4267	4	536	0.275
rs4268	4	537	0.024
rs4269	4	538	0.594
rs4270	4	539	0.119
rs4271	4	540	0.339
rs4272	4	541	0.048
rs4273	4	542	0.924
rs4274	4	543	0.125
rs4275	4	544	0.361
rs4276	4	545	0.08
rs4277	4	546	0.028
rs4278	4	547	0.572
rs4279	4	548	0.015
rs4280	4	549	0.169
rs4281	4	550	2.193
rs4282	4	551	0.152
rs4283	4	552	1.309
rs4284	4	553	1.13
rs4285	4	554	1.109
rs4286	4	555	0.012
rs4287	4	556	0.995
rs4288	4	557	0.384
rs4289	4	558	0.008
rs4290	4	559	1.561
rs4291	4	560	0.073
rs4292	4	561	0.191
rs4293	4	562	0.34
rs4294	4	563	0.07
rs4295	4	564	0.077
rs4296	4	565	0.328
rs4297	4	566	0.005
rs4298	4	567	0.262
rs4299	4	568	0.131
rs4300	4	569	0.066
rs4301	4	570	0.016
rs4302	4	571	0.305
rs4303	4	572	0.901
rs4304	4	573	0.614
rs4305	4	574	0.853
rs4306	4	575	0.287
rs4307	4	576	0.066
rs4308	4	577	0.043
rs4309	4	578	0.089
rs4310	4	579	0.225
rs4311	4	580	0.092
rs4312	4	581	0.142
rs4313	4	582	0.163
rs4314	4	583	0.002
rs4315	4	584	0.496
rs4316	4	585	0.423
rs4317	4	586	0.081
rs4318	4	587	0.65
rs4319	4	588	0.014
rs4320	4	589	0.049
rs4321	4	590	0.049
rs4322	4	591	1.003
rs4323	4	592	1.077
rs4324	4	593	0.023
rs4325	4	594	0.165
rs4326	4	595	0.551
rs4327	4	596	0.296
rs4328	4	597	0.296
rs4329	4	598	0.271
rs4330	4	599	0.007
rs4331	4	600	0.368
rs4332	4	601	0.534
rs4333	4	602	0.987
rs4334	4	603	0.381
rs4335	4	604	0.2
rs4336	4	605	1.374
rs4337	4	606	0.04
rs4338	4	607	1.093
rs4339	4	608	0.022
rs4340	4	609	0.82
rs4341	4	610	0.164
rs4342	4	611	0.142
rs4343	4	612	0.636
rs4344	4	613	1.017
rs4345	4	614	0.552
rs4346	4	615	0.272
rs4347	4	616	0.567
rs4348	4	617	0.237
rs4349	4	618	0.138
rs4350	4	619	0.393
rs4351	4	620	0.39
rs4352	4	621	0.106
rs4353	4	622	0
rs4354	4	623	0.19
rs4355	4	624	0.404
rs4356	4	625	0.314
rs4357	4	626	0.252
rs4358	4	627	0.252
rs4359	4	628	0.378
rs4360	4	629	0.978
rs4361	4	630	0.584
rs4362	4	631	0.021
rs4363	4	632	0.096
rs4364	4	633	0.208
rs4365	4	634	0.524
rs4366	4	635	0.29
rs4367	4	636	0.3
rs4368	4	637	0.431
rs4369	4	638	0.41
rs4370	4	639	0.586
rs4371	4	640	2.631
rs4372	4	641	0.059
rs4373	4	642	0.129
rs4374	4	643	0.249
rs4375	4	644	0.249
rs4376	4	645	0.908
rs4377	4	646	0.706
rs4378	4	647	0.094
rs4379	4	648	0.039
rs4380	4	649	0.106
rs4381	4	650	0.985
rs4382	4	651	0.368
rs4383	4	652	1.423
rs4384	4	653	0.624
rs4385	4	654	0.608
rs4386	4	655	0.777
rs4387	4	656	0.927
rs4388	4	657	0.166
rs4389	4	658	0.105
rs4390	4	659	0.235
rs4391	4	660	0.272
rs4392	4	661	0.812
rs4393	4	662	0.448
rs4394	4	663	0.261
rs4395	4	664	0.297
rs4396	4	665	0.16
rs4397	4	666	0.767
rs4398	4	667	0.251
rs4399	4	668	0.242
rs4400	4	669	0.035
rs4401	4	670	0.239
rs4402	4	671	0.012
rs4403	4	672	0.326
rs4404	4	673	0.103
rs4405	4	674	0.302
rs4406	4	675	1.5
rs4407	4	676	0.873
rs4408	4	677	0.057
rs4409	4	678	0.083
rs4410	4	679	0.67
rs4411	4	680	1.163
rs4412	4	681	1.297
rs4413	4	682	0.005
rs4414	4	683	0.197
rs4415	4	684	0.023
rs4416	4	685	0.235
rs4417	4	686	0.155
rs4418	4	687	0.306
rs4419	4	688	1.054
rs4420	4	689	0.555
rs4421	4	690	0.177
rs4422	4	691	0.116
rs4423	4	692	1.317
rs4424	4	693	0.2
rs4425	4	694	0.404
rs4426	4	695	0.822
rs4427	4	696	0.104
rs4428	4	697	1.062
rs4429	4	698	0.097
rs4430	4	699	1.121
rs4431	4	700	0.289
rs4432	4	701	0.329
rs4433	4	702	0.391
rs4434	4	703	0.136
rs4435	4	704	0.219
rs4436	4	705	0.059
rs4437	4	706	1.254
rs4438	4	707	0.06
rs4439	4	708	0.451
rs4440	4	709	0.238
rs4441	4	710	0.015
rs4442	4	711	0.356
rs4443	4	712	1.386
rs4444	4	713	0.16
rs4445	4	714	0.023
rs4446	4	715	0.229
rs4447	4	716	0.154
rs4448	4	717	0.334
rs4449	4	718	0.444
rs4450	4	719	0.214
rs4451	4	720	0.005
rs4452	4	721	0.491
rs4453	4	722	0.315
rs4454	4	723	0
rs4455	4	724	0.012
rs4456	4	725	2.36
rs4457	4	726	0.292
rs4458	4	727	0.029
rs4459	4	728	0.148
rs4460	4	729	0.002
rs4461	4	730	0.548
rs4462	4	731	0.292
rs4463	4	732	0.752
rs4464	4	733	0.077
rs4465	4	734	1.643
rs4466	4	735	0.451
rs4467	4	736	0.573
rs4468	4	737	0.058
rs4469	4	738	0.115
rs4470	4	739	0.068
rs4471	4	740	0.869
rs4472	4	741	0.827
rs4473	4	742	0.909
rs4474	4	743	1.033
rs4475	4	744	0.481
rs4476	4	745	0.17
rs4477	4	746	0.249
rs4478	4	747	0.844
rs4479	4	748	0.508
rs4480	4	749	0.036
rs4481	4	750	0.051
rs4482	4	751	0.154
rs4483	4	752	0.211
rs4484	4	753	0.144
rs4485	4	754	0.313
rs4486	4	755	0.203
rs4487	4	756	0.869
rs4488	4	757	0.182
rs4489	4	758	0.757
rs4490	4	759	0.049
rs4491	4	760	0.169
rs4492	4	761	0.266
rs4493	4	762	0.432
rs4494	4	763	0.175
rs4495	4	764	0.062
rs4496	4	765	0.252
rs4497	4	766	1.291
rs4498	4	767	0.076
rs4499	4	768	0.199
rs4500	4	769	0.528
rs4501	4	770	0.523
rs4502	4	771	1.129
rs4503	4	772	0.032
rs4504	4	773	0.396
rs4505	4	774	0.176
rs4506	4	775	1.602
rs4507	4	776	0.816
rs4508	4	777	0.829
rs4509	4	778	1.02
rs4510	4	779	0.305
rs4511	4	780	0.228
rs4512	4	781	0.824
rs4513	4	782	0.42
rs4514	4	783	0.103
rs4515	4	784	0.331
rs4516	4	785	0.319
rs4517	4	786	0.362
rs4518	4	787	0.778
rs4519	4	788	0.128
rs4520	4	789	0.089
rs4521	4	790	0.85
rs4522	4	791	0.452
rs4523	4	792	0
rs4524	4	793	0.138
rs4525	4	794	0.21
rs4526	4	795	0.259
rs4527	4	796	0.528
rs4528	4	797	0.343
rs4529	4	798	0.354
rs4530	4	799	0.806
rs4531	4	800	0.151
rs4532	4	801	2.381
rs4533	4	802	0.132
rs4534	4	803	1.625
rs4535	4	804	1.42
rs4536	4	805	1.207
rs4537	4	806	1.712
rs4538	4	807	0.645
rs4539	4	808	0.333
rs4540	4	809	0.059
rs4541	4	810	0.097
rs4542	4	811	0.567
rs4543	4	812	0.247
rs4544	4	813	1.532
rs4545	4	814	0.071
rs4546	4	815	0.759
rs4547	4	816	0.182
rs4548	4	817	0.192
rs4549	4	818	0.18
rs4550	4	819	0.209
rs4551	4	820	0.02
rs4552	4	821	0.762
rs4553	4	822	0.841
rs4554	4	823	0.542
rs4555	4	824	0.668
rs4556	4	825	0.264
rs4557	4	826	0.186
rs4558	4	827	0.545
rs4559	4	828	0.221
rs4560	4	829	0.278
rs4561	4	830	1.842
rs4562	4	831	0.09
rs4563	4	832	0.152
rs4564	4	833	0.206
rs4565	4	834	1.006
rs4566	4	835	0.171
rs4567	4	836	0.957
rs4568	4	837	0.12
rs4569	4	838	0.018
rs4570	4	839	0.788
rs4571	4	840	0.056
rs4572	4	841	0.488
rs4573	4	842	0.643
rs4574	4	843	0.206
rs4575	4	844	0.021
rs4576	4	845	1.355
rs4577	4	846	0.525
rs4578	4	847	0.856
rs4579	4	848	0.071
rs4580	4	849	0.361
rs4581	4	850	0.038
rs4582	4	851	0.799
rs4583	4	852	0.041
rs4584	4	853	0.044
rs4585	4	854	0.048
rs4586	4	855	0.036
rs4587	4	856	0.412
rs4588	4	857	0.521
rs4589	4	858	0.534
rs4590	4	859	0.179
rs4591	4	860	0.048
rs4592	4	861	0.771
rs4593	4	862	0.326
rs4594	4	863	0.493
rs4595	4	864	0.606
rs4596	4	865	0.475
rs4597	4	866	0.816
rs4598	4	867	0.107
rs4599	4	868	0.044
rs4600	4	869	0.276
rs4601	4	870	0.11
rs4602	4	871	0.23
rs4603	4	872	0.031
rs4604	4	873	0.723
rs4605	4	874	0.572
rs4606	4	875	0.257
rs4607	4	876	0.22
rs4608	4	877	0.215
rs4609	4	878	0.858
rs4610	4	879	0.091
rs4611	4	880	0.272
rs4612	4	881	0.516
rs4613	4	882	0.701
rs4614	4	883	0.254
rs4615	4	884	0.186
rs4616	4	885	0.201
rs4617	4	886	0.314
rs4618	4	887	0.825
rs4619	4	888	0.033
rs4620	4	889	1.05
rs4621	4	890	0.204
rs4622	4	891	0.114
rs4623	4	892	0.464
rs4624	4	893	0.092
rs4625	4	894	1.388
rs4626	4	895	0.201
rs4627	4	896	0.487
rs4628	4	897	0.087
rs4629	4	898	0.554
rs4630	4	899	0.081
rs4631	4	900	0.058
rs4632	4	901	0.05
rs4633	4	902	0.169
rs4634	4	903	0.272
rs4635	4	904	0.555
rs4636	4	905	0.103
rs4637	4	906	0.229
rs4638	4	907	0.661
rs4639	4	908	0.256
rs4640	4	909	0.683
rs4641	4	910	0.201
rs4642	4	911	0.015
rs4643	4	912	0.416
rs4644	4	913	0.282
rs4645	4	914	0.054
rs4646	4	915	0.874
rs4647	4	916	0.043
rs4648	4	917	0.353
rs4649	4	918	0.917
rs4650	4	919	0.526
rs4651	4	920	0.075
rs4652	4	921	1.529
rs4653	4	922	0.642
rs4654	4	923	0.331
rs4655	4	924	0.23
rs4656	4	925	0.127
rs4657	4	926	0.074
rs4658	4	927	0.085
rs4659	4	928	0.161
rs4660	4	929	0.275
rs4661	4	930	0.303
rs4662	4	931	0.013
rs4663	4	932	0.268
rs4664	4	933	0.198
rs4665	4	934	0.005
rs4666	4	935	2.128
rs4667	4	936	0.034
rs4668	4	937	0.029
rs4669	4	938	0.297
rs4670	4	939	0.689
rs4671	4	940	0.426
rs4672	4	941	0.455
rs4673	4	942	0.014
rs4674	4	943	0.283
rs4675	4	944	0.27
rs4676	4	945	0.643
rs4677	5	1	0.182
rs4678	5	2	0.58
rs4679	5	3	0.043
rs4680	5	4	0.185
rs4681	5	5	0.568
rs4682	5	6	1.977
rs4683	5	7	0.479
rs4684	5	8	0.258
rs4685	5	9	0.454
rs4686	5	10	0.165
rs4687	5	11	0.245
rs4688	5	12	0.26
rs4689	5	13	2.106
rs4690	5	14	0.1
rs4691	5	15	0.471
rs4692	5	16	0.105
rs4693	5	17	0.119
rs4694	5	18	0.116
rs4695	5	19	0.205
rs4696	5	20	0.024
rs4697	5	21	0.195
rs4698	5	22	0.516
rs4699	5	23	1.249
rs4700	5	24	0.221
rs4701	5	25	0.232
rs4702	5	26	0.367
rs4703	5	27	0.342
rs4704	5	28	0.123
rs4705	5	29	0.294
rs4706	5	30	0.509
rs4707	5	31	0.089
rs4708	5	32	0.582
rs4709	5	33	0.033
rs4710	5	34	0.191
rs4711	5	35	0.397
rs4712	5	36	0.366
rs4713	5	37	0.56
rs4714	5	38	0.633
rs4715	5	39	0.395
rs4716	5	40	0.3
rs4717	5	41	0.107
rs4718	5	42	0.155
rs4719	5	43	0.344
rs4720	5	44	0.374
rs4721	5	45	0.47
rs4722	5	46	0.623
rs4723	5	47	0.319
rs4724	5	48	0.164
rs4725	5	49	0.039
rs4726	5	50	0.901
rs4727	5	51	0.748
rs4728	5	52	0.351
rs4729	5	53	0.422
rs4730	5	54	0.378
rs4731	5	55	0.837
rs4732	5	56	0.012
rs4733	5	57	0.005
rs4734	5	58	1.849
rs4735	5	59	0.497
rs4736	5	60	0.216
rs4737	5	61	0.087
rs4738	5	62	0.221
rs4739	5	63	0.288
rs4740	5	64	0.284
rs4741	5	65	0.366
rs4742	5	66	0.038
rs4743	5	67	0.445
rs4744	5	68	0.505
rs4745	5	69	0.676
rs4746	5	70	0.309
rs4747	5	71	0.04
rs4748	5	72	0.089
rs4749	5	73	0.134
rs4750	5	74	0.425
rs4751	5	75	0.29
rs4752	5	76	0.302
rs4753	5	77	0.863
rs4754	5	78	0.346
rs4755	5	79	0.503
rs4756	5	80	0.134
rs4757	5	81	0.081
rs4758	5	82	0.263
rs4759	5	83	0.795
rs4760	5	84	0.643
rs4761	5	85	0.547
rs4762	5	86	0.726
rs4763	5	87	0.106
rs4764	5	88	0.332
rs4765	5	89	0.188
rs4766	5	90	1.447
rs4767	5	91	0.561
rs4768	5	92	0.224
rs4769	5	93	0.021
rs4770	5	94	0.94
rs4771	5	95	0.932
rs4772	5	96	0.199
rs4773	5	97	0.035
rs4774	5	98	0.006
rs4775	5	99	0.101
rs4776	5	100	0.004
rs4777	5	101	1.745
rs4778	5	102	0.237
rs4779	5	103	0.203
rs4780	5	104	0.918
rs4781	5	105	0.103
rs4782	5	106	0.065
rs4783	5	107	0.669
rs4784	5	108	0.002
rs4785	5	109	0.304
rs4786	5	110	0.381
rs4787	5	111	1.282
rs4788	5	112	0.007
rs4789	5	113	0.739
rs4790	5	114	0.142
rs4791	5	115	0.256
rs4792	5	116	0.828
rs4793	5	117	0.216
rs4794	5	118	0.664
rs4795	5	119	0.327
rs4796	5	120	0.061
rs4797	5	121	0.658
rs4798	5	122	0.093
rs4799	5	123	0.14
rs4800	5	124	0.285
rs4801	5	125	0.041
rs4802	5	126	1.638
rs4803	5	127	0.562
rs4804	5	128	0.343
rs4805	5	129	0.281
rs4806	5	130	0.326
rs4807	5	131	0.526
rs4808	5	132	0.812
rs4809	5	133	0.329
rs4810	5	134	0.189
rs4811	5	135	0.248
rs4812	5	136	0.151
rs4813	5	137	0.337
rs4814	5	138	0.508
rs4815	5	139	0.442
rs4816	5	140	0.312
rs4817	5	141	0.496
rs4818	5	142	0.159
rs4819	5	143	0.289
rs4820	5	144	0.143
rs4821	5	145	0.376
rs4822	5	146	0.848
rs4823	5	147	0.533
rs4824	5	148	0.16
rs4825	5	149	0.189
rs4826	5	150	0.323
rs4827	5	151	0.182
rs4828	5	152	0.651
rs4829	5	153	0.245
rs4830	5	154	0.011
rs4831	5	155	0.868
rs4832	5	156	0.136
rs4833	5	157	0.182
rs4834	5	158	0.056
rs4835	5	159	0.177
rs4836	5	160	0.486
rs4837	5	161	0.41
rs4838	5	162	1.254
rs4839	5	163	0.148
rs4840	5	164	0.539
rs4841	5	165	0.047
rs4842	5	166	0.071
rs4843	5	167	0.201
rs4844	5	168	0.128
rs4845	5	169	0.109
rs4846	5	170	0.009
rs4847	5	171	0.045
rs4848	5	172	0.906
rs4849	5	173	0.021
rs4850	5	174	0.424
rs4851	5	175	0.501
rs4852	5	176	0.228
rs4853	5	177	0.466
rs4854	5	178	0.166
rs4855	5	179	0.43
rs4856	5	180	0.377
rs4857	5	181	0.063
rs4858	5	182	0.036
rs4859	5	183	0.142
rs4860	5	184	0.1
rs4861	5	185	0.08
rs4862	5	186	0.125
rs4863	5	187	0.208
rs4864	5	188	0.4
rs4865	5	189	0.412
rs4866	5	190	0.053
rs4867	5	191	1.138
rs4868	5	192	0.189
rs4869	5	193	1.355
rs4870	5	194	0.574
rs4871	5	195	0.009
rs4872	5	196	0.297
rs4873	5	197	0.299
rs4874	5	198	0.307
rs4875	5	199	0.147
rs4876	5	200	1.351
rs4877	5	201	0.121
rs4878	5	202	0.314
rs4879	5	203	0.033
rs4880	5	204	0.323
rs4881	5	205	0.132
rs4882	5	206	0.141
rs4883	5	207	0.291
rs4884	5	208	0.403
rs4885	5	209	0.112
rs4886	5	210	0.837
rs4887	5	211	0.196
rs4888	5	212	0.329
rs4889	5	213	0.577
rs4890	5	214	0.718
rs4891	5	215	0.08
rs4892	5	216	0.787
rs4893	5	217	0.247
rs4894	5	218	0.236
rs4895	5	219	0.313
rs4896	5	220	0.866
rs4897	5	221	0.748
rs4898	5	222	0.263
rs4899	5	223	0.058
rs4900	5	224	0.227
rs4901	5	225	0.458
rs4902	5	226	0.018
rs4903	5	227	0.336
rs4904	5	228	0.282
rs4905	5	229	0.31
rs4906	5	230	0.084
rs4907	5	231	0.321
rs4908	5	232	0.056
rs4909	5	233	0.148
rs4910	5	234	0.14
rs4911	5	235	0.088
rs4912	5	236	0.375
rs4913	5	237	0.152
rs4914	5	238	0.404
rs4915	5	239	1.151
rs4916	5	240	0.205
rs4917	5	241	2.097
rs4918	5	242	0.166
rs4919	5	243	0.446
rs4920	5	244	0.238
rs4921	5	245	0.368
rs4922	5	246	1.211
rs4923	5	247	0.355
rs4924	5	248	0.09
rs4925	5	249	1.086
rs4926	5	250	0.538
rs4927	5	251	0.604
rs4928	5	252	0.296
rs4929	5	253	1.462
rs4930	5	254	0.957
rs4931	5	255	0.001
rs4932	5	256	0.025
rs4933	5	257	0.15
rs4934	5	258	0.048
rs4935	5	259	0.303
rs4936	5	260	0.192
rs4937	5	261	1.532
rs4938	5	262	0.452
rs4939	5	263	0.403
rs4940	5	264	0.878
rs4941	5	265	0.1
rs4942	5	266	0.268
rs4943	5	267	0.106
rs4944	5	268	0.083
rs4945	5	269	0.17
rs4946	5	270	0.357
rs4947	5	271	0.035
rs4948	5	272	0.102
rs4949	5	273	1.455
rs4950	5	274	0.007
rs4951	5	275	0.869
rs4952	5	276	0.879
rs4953	5	277	0.307
rs4954	5	278	0.124
rs4955	5	279	0.252
rs4956	5	280	0.019
rs4957	5	281	0.526
rs4958	5	282	0.945
rs4959	5	283	0.053
rs4960	5	284	0.061
rs4961	5	285	1.687
rs4962	5	286	2.9
rs4963	5	287	0.809
rs4964	5	288	0.152
rs4965	5	289	0.024
rs4966	5	290	0.191
rs4967	5	291	0.089
rs4968	5	292	0.692
rs4969	5	293	1.19
rs4970	5	294	1.102
rs4971	5	295	0.099
rs4972	5	296	0.002
rs4973	5	297	0.192
rs4974	5	298	0.248
rs4975	5	299	1.038
rs4976	5	300	0.7
rs4977	5	301	0.193
rs4978	5	302	0.007
rs4979	5	303	0.089
rs4980	5	304	0.063
rs4981	5	305	0.796
rs4982	5	306	0.302
rs4983	5	307	0.155
rs4984	5	308	0.099
rs4985	5	309	0.965
rs4986	5	310	0.25
rs4987	5	311	0.153
rs4988	5	312	0.473
rs4989	5	313	0.788
rs4990	5	314	0.452
rs4991	5	315	0.451
rs4992	5	316	0.358
rs4993	5	317	0.827
rs4994	5	318	0.764
rs4995	5	319	0.12
rs4996	5	320	0.31
rs4997	5	321	0.354
rs4998	5	322	0.003
rs4999	5	323	0.16
rs5000	5	324	1.269
rs5001	5	325	0.135
rs5002	5	326	0.251
rs5003	5	327	0.302
rs5004	5	328	0.075
rs5005	5	329	0.333
rs5006	5	330	0.701
rs5007	5	331	0.183
rs5008	5	332	0.005
rs5009	5	333	0.141
rs5010	5	334	1.61
rs5011	5	335	0.306
rs5012	5	336	0.817
rs5013	5	337	0.178
rs5014	5	338	1.563
rs5015	5	339	0.103
rs5016	5	340	1.625
rs5017	5	341	0.123
rs5018	5	342	0.658
rs5019	5	343	0.043
rs5020	5	344	1.223
rs5021	5	345	1.533
rs5022	5	346	0.795
rs5023	5	347	0.197
rs5024	5	348	0.004
rs5025	5	349	0.25
rs5026	5	350	0.395
rs5027	5	351	0.654
rs5028	5	352	0.036
rs5029	5	353	0.646
rs5030	5	354	1.43
rs5031	5	355	0.154
rs5032	5	356	0.454
rs5033	5	357	0.442
rs5034	5	358	0.559
rs5035	5	359	0.4
rs5036	5	360	0.004
rs5037	5	361	0.158
rs5038	5	362	0.486
rs5039	5	363	0.058
rs5040	5	364	0.142
rs5041	5	365	0.008
rs5042	5	366	0.107
rs5043	5	367	0.108
rs5044	5	368	0.226
rs5045	5	369	0.009
rs5046	5	370	0.549
rs5047	5	371	0.046
rs5048	5	372	0.116
rs5049	5	373	0.2
rs5050	5	374	0.097
rs5051	5	375	0.221
rs5052	5	376	0.675
rs5053	5	377	0.011
rs5054	5	378	0.23
rs5055	5	379	0.808
rs5056	5	380	0.729
rs5057	5	381	0.279
rs5058	5	382	0.154
rs5059	5	383	0.239
rs5060	5	384	0.451
rs5061	5	385	2.015
rs5062	5	386	0.934
rs5063	5	387	0.44
rs5064	5	388	0.137
rs5065	5	389	0.196
rs5066	5	390	0.472
rs5067	5	391	2.631
rs5068	5	392	0.083
rs5069	5	393	0.191
rs5070	5	394	1.103
rs5071	5	395	0.411
rs5072	5	396	0.883
rs5073	5	397	0.173
rs5074	5	398	0.513
rs5075	5	399	0.117
rs5076	5	400	0.117
rs5077	5	401	0.034
rs5078	5	402	0.341
rs5079	5	403	1.337
rs5080	5	404	0.18
rs5081	5	405	0.286
rs5082	5	406	0.675
rs5083	5	407	0.579
rs5084	5	408	1.515
rs5085	5	409	0.29
rs5086	5	410	0.195
rs5087	5	411	0.348
rs5088	5	412	0.411
rs5089	5	413	0.921
rs5090	5	414	0.013
rs5091	5	415	1.451
rs5092	5	416	0.388
rs5093	5	417	0.007
rs5094	5	418	0.072
rs5095	5	419	1.032
rs5096	5	420	0.582
rs5097	5	421	0.215
rs5098	5	422	0.395
rs5099	5	423	0.873
rs5100	5	424	0.039
rs5101	5	425	0.029
rs5102	5	426	0.57
rs5103	5	427	1.413
rs5104	5	428	0.219
rs5105	5	429	0.727
rs5106	5	430	0.133
rs5107	5	431	0.953
rs5108	5	432	0.111
rs5109	5	433	0.283
rs5110	5	434	1.07
rs5111	5	435	0.506
rs5112	5	436	0.565
rs5113	5	437	0.003
rs5114	5	438	0.444
rs5115	5	439	0.302
rs5116	5	440	0.026
rs5117	5	441	0.041
rs5118	5	442	0.14
rs5119	5	443	0.1
rs5120	5	444	0.573
rs5121	5	445	0.122
rs5122	5	446	0.266
rs5123	5	447	0.156
rs5124	5	448	0.223
rs5125	5	449	0.216
rs5126	5	450	0.575
rs5127	5	451	0.623
rs5128	5	452	0.209
rs5129	5	453	0.436
rs5130	5	454	0.063
rs5131	5	455	0.167
rs5132	5	456	0.039
rs5133	5	457	2.177
rs5134	5	458	0.133
rs5135	5	459	1.498
rs5136	5	460	0.534
rs5137	5	461	0.472
rs5138	5	462	0.152
rs5139	5	463	1.508
rs5140	5	464	0.07
rs5141	5	465	0.263
rs5142	5	466	0.127
rs5143	5	467	0.166
rs5144	5	468	0.365
rs5145	5	469	0.09
rs5146	5	470	0.046
rs5147	5	471	0.061
rs5148	5	472	0.384
rs5149	5	473	0.145
rs5150	5	474	0.119
rs5151	5	475	0.15
rs5152	5	476	0.501
rs5153	5	477	0.225
rs5154	5	478	0.405
rs5155	5	479	0.289
rs5156	5	480	0.395
rs5157	5	481	0.678
rs5158	5	482	0.006
rs5159	5	483	0.005
rs5160	5	484	0.014
rs5161	5	485	0.669
rs5162	5	486	0.402
rs5163	5	487	0.019
rs5164	5	488	0.371
rs5165	5	489	0.082
rs5166	5	490	0.052
rs5167	5	491	0.009
rs5168	5	492	0.248
rs5169	5	493	0.114
rs5170	5	494	0.81
rs5171	5	495	0.471
rs5172	5	496	0.042
rs5173	5	497	0.422
rs5174	5	498	0.307
rs5175	5	499	1.061
rs5176	5	500	0.48
rs5177	5	501	0.07
rs5178	5	502	0.416
rs5179	5	503	0.285
rs5180	5	504	0.189
rs5181	5	505	0.321
rs5182	5	506	0.39
rs5183	5	507	0.275
rs5184	5	508	0.046
rs5185	5	509	0.579
rs5186	5	510	0.11
rs5187	5	511	0.473
rs5188	5	512	0.118
rs5189	5	513	0.107
rs5190	5	514	1.937
rs5191	5	515	0.043
rs5192	5	516	0.081
rs5193	5	517	0.281
